"chi2","Z","P","P.adjusted","comparisons"
631.604639359764,-15.6872985373923,9.23762246630094e-56,9.23762246630094e-56,"Callithrix jacchus - Cebus apella"
631.604639359764,-14.4300712991964,1.67367458479588e-47,1.67367458479588e-47,"Callithrix jacchus - Colobus guereza"
631.604639359764,2.78540450348142,0.00267304924047873,0.00267304924047873,"Cebus apella - Colobus guereza"
631.604639359764,-9.17808551219671,2.19411744720404e-20,2.19411744720404e-20,"Callithrix jacchus - Colobus polykomos"
631.604639359764,7.97951502291204,7.34546826788498e-16,7.34546826788498e-16,"Cebus apella - Colobus polykomos"
631.604639359764,5.71834561267348,5.37830932459601e-09,5.37830932459601e-09,"Colobus guereza - Colobus polykomos"
631.604639359764,-10.4419730706653,7.97306900407301e-26,7.97306900407301e-26,"Callithrix jacchus - Colobus tephrosceles"
631.604639359764,8.71766457164703,1.41999420696612e-18,1.41999420696612e-18,"Cebus apella - Colobus tephrosceles"
631.604639359764,6.42652731505259,6.527598593252e-11,6.527598593252e-11,"Colobus guereza - Colobus tephrosceles"
631.604639359764,0.0494710456524216,0.480271955579493,0.480271955579493,"Colobus polykomos - Colobus tephrosceles"
631.604639359764,-15.0304130332458,2.32051471521202e-51,2.32051471521202e-51,"Callithrix jacchus - Lagothrix lagotrichia"
631.604639359764,4.44402293987726,4.41460921977561e-06,4.41460921977561e-06,"Cebus apella - Lagothrix lagotrichia"
631.604639359764,1.57169561924909,0.0580105793194542,0.0580105793194542,"Colobus guereza - Lagothrix lagotrichia"
631.604639359764,-4.90551093757059,4.65922237430235e-07,4.65922237430235e-07,"Colobus polykomos - Lagothrix lagotrichia"
631.604639359764,-5.76552090992582,4.07030039161194e-09,4.07030039161194e-09,"Colobus tephrosceles - Lagothrix lagotrichia"
631.604639359764,-13.0048040886619,5.74464854413612e-39,5.74464854413612e-39,"Callithrix jacchus - Macaca mulatta"
631.604639359764,9.08990017562571,4.95650146913708e-20,4.95650146913708e-20,"Cebus apella - Macaca mulatta"
631.604639359764,6.73956883616917,7.94286610308753e-12,7.94286610308753e-12,"Colobus guereza - Macaca mulatta"
631.604639359764,-0.576005847595587,0.282305614544097,0.282305614544097,"Colobus polykomos - Macaca mulatta"
631.604639359764,-0.813252558715723,0.208036635471955,0.208036635471955,"Colobus tephrosceles - Macaca mulatta"
631.604639359764,6.30149043973563,1.47398484490311e-10,1.47398484490311e-10,"Lagothrix lagotrichia - Macaca mulatta"
631.604639359764,-6.05609285494973,6.97337578643072e-10,6.97337578643072e-10,"Callithrix jacchus - Macaca sp"
631.604639359764,9.93790343263545,1.42378555105395e-23,1.42378555105395e-23,"Cebus apella - Macaca sp"
631.604639359764,7.96557379895356,8.22294246271423e-16,8.22294246271423e-16,"Colobus guereza - Macaca sp"
631.604639359764,2.62626541291516,0.00431637373597478,0.00431637373597478,"Colobus polykomos - Macaca sp"
631.604639359764,2.89656667852101,0.00188635229748874,0.00188635229748874,"Colobus tephrosceles - Macaca sp"
631.604639359764,7.4694355027145,4.02697863101713e-14,4.02697863101713e-14,"Lagothrix lagotrichia - Macaca sp"
631.604639359764,3.90151163587585,4.77969328328327e-05,4.77969328328327e-05,"Macaca mulatta - Macaca sp"
631.604639359764,-12.3725169030393,1.84051543824549e-35,1.84051543824549e-35,"Callithrix jacchus - Pan troglodytes"
631.604639359764,6.79342913413202,5.47495188944916e-12,5.47495188944916e-12,"Cebus apella - Pan troglodytes"
631.604639359764,4.24022869337519,1.11646086874144e-05,1.11646086874144e-05,"Colobus guereza - Pan troglodytes"
631.604639359764,-2.13860854811804,0.0162336923151219,0.0162336923151219,"Colobus polykomos - Pan troglodytes"
631.604639359764,-2.56187037502105,0.00520550837657815,0.00520550837657815,"Colobus tephrosceles - Pan troglodytes"
631.604639359764,3.14848706595128,0.00082058992958477,0.00082058992958477,"Lagothrix lagotrichia - Pan troglodytes"
631.604639359764,-2.40248942580275,0.00814195267034275,0.00814195267034275,"Macaca mulatta - Pan troglodytes"
631.604639359764,-4.88918725785907,5.06265721444739e-07,5.06265721444739e-07,"Macaca sp - Pan troglodytes"
631.604639359764,0.593997230711698,0.276256982594294,0.276256982594294,"Callithrix jacchus - Papio anubis"
631.604639359764,16.3212997421032,3.48185100651365e-60,3.48185100651365e-60,"Cebus apella - Papio anubis"
631.604639359764,15.1592595332276,3.2903527330349e-52,3.2903527330349e-52,"Colobus guereza - Papio anubis"
631.604639359764,9.89426290675195,2.20422947554993e-23,2.20422947554993e-23,"Colobus polykomos - Papio anubis"
631.604639359764,11.3126972542307,5.67722238617814e-30,5.67722238617814e-30,"Colobus tephrosceles - Papio anubis"
631.604639359764,15.9290895199037,1.99055864252482e-57,1.99055864252482e-57,"Lagothrix lagotrichia - Papio anubis"
631.604639359764,14.1598402157678,8.11814498646169e-46,8.11814498646169e-46,"Macaca mulatta - Papio anubis"
631.604639359764,6.68850661261146,1.12729730593391e-11,1.12729730593391e-11,"Macaca sp - Papio anubis"
631.604639359764,13.2447628534953,2.41903815851485e-40,2.41903815851485e-40,"Pan troglodytes - Papio anubis"
