"chi2","Z","P","P.adjusted","comparisons"
191.693540618758,-2.14417595247419,0.016009395569418,0.016009395569418,"Callithrix jacchus - Cebus apella"
191.693540618758,1.93738547008989,0.0263491207077905,0.0263491207077905,"Callithrix jacchus - Colobus guereza"
191.693540618758,3.62174936010476,0.000146308779706711,0.000146308779706711,"Cebus apella - Colobus guereza"
191.693540618758,4.35321723975933,6.70770469573148e-06,6.70770469573148e-06,"Callithrix jacchus - Colobus polykomos"
191.693540618758,5.63893317129469,8.55534605015548e-09,8.55534605015548e-09,"Cebus apella - Colobus polykomos"
191.693540618758,2.08932972973205,0.0183390259822813,0.0183390259822813,"Colobus guereza - Colobus polykomos"
191.693540618758,0.568143455139803,0.284968781433265,0.284968781433265,"Callithrix jacchus - Colobus tephrosceles"
191.693540618758,2.73109626866353,0.00315620148773561,0.00315620148773561,"Cebus apella - Colobus tephrosceles"
191.693540618758,-1.60782497436344,0.0539367585481188,0.0539367585481188,"Colobus guereza - Colobus tephrosceles"
191.693540618758,-4.2696587645094,9.78861268511946e-06,9.78861268511946e-06,"Colobus polykomos - Colobus tephrosceles"
191.693540618758,0.266506571208683,0.394924549631421,0.394924549631421,"Callithrix jacchus - Lagothrix lagotrichia"
191.693540618758,2.43371862982408,0.0074723035743541,0.0074723035743541,"Cebus apella - Lagothrix lagotrichia"
191.693540618758,-1.79123231890394,0.0366280109646749,0.0366280109646749,"Colobus guereza - Lagothrix lagotrichia"
191.693540618758,-4.33902821120569,7.1557076104935e-06,7.1557076104935e-06,"Colobus polykomos - Lagothrix lagotrichia"
191.693540618758,-0.309667294992496,0.378406987911761,0.378406987911761,"Colobus tephrosceles - Lagothrix lagotrichia"
191.693540618758,1.8466272092531,0.0324005939590367,0.0324005939590367,"Callithrix jacchus - Macaca mulatta"
191.693540618758,3.83787614245657,6.20515237926084e-05,6.20515237926084e-05,"Cebus apella - Macaca mulatta"
191.693540618758,-0.818368240704214,0.206573475414625,0.206573475414625,"Colobus guereza - Macaca mulatta"
191.693540618758,-3.8613784422794,5.63745522567571e-05,5.63745522567571e-05,"Colobus polykomos - Macaca mulatta"
191.693540618758,1.44259958735943,0.0745666498472489,0.0745666498472489,"Colobus tephrosceles - Macaca mulatta"
191.693540618758,1.68295906829282,0.0461915077413569,0.0461915077413569,"Lagothrix lagotrichia - Macaca mulatta"
191.693540618758,2.47707108735796,0.00662327577649111,0.00662327577649111,"Callithrix jacchus - Macaca sp"
191.693540618758,4.08238547816178,2.22878897306687e-05,2.22878897306687e-05,"Cebus apella - Macaca sp"
191.693540618758,0.465396031572538,0.320823937770841,0.320823937770841,"Colobus guereza - Macaca sp"
191.693540618758,-1.63223480385654,0.0513150157829768,0.0513150157829768,"Colobus polykomos - Macaca sp"
191.693540618758,2.195648863083,0.0140585429772724,0.0140585429772724,"Colobus tephrosceles - Macaca sp"
191.693540618758,2.35712906495762,0.00920842230976148,0.00920842230976148,"Lagothrix lagotrichia - Macaca sp"
191.693540618758,1.47449930347322,0.0701736025522772,0.0701736025522772,"Macaca mulatta - Macaca sp"
191.693540618758,7.73128770604138,5.32320521818408e-15,5.32320521818408e-15,"Callithrix jacchus - Pan troglodytes"
191.693540618758,8.28976125824054,5.67380020548719e-17,5.67380020548719e-17,"Cebus apella - Pan troglodytes"
191.693540618758,4.88799884934472,5.09330628914151e-07,5.09330628914151e-07,"Colobus guereza - Pan troglodytes"
191.693540618758,2.82192850396849,0.00238679090265677,0.00238679090265677,"Colobus polykomos - Pan troglodytes"
191.693540618758,8.16294319631593,1.63479143163023e-16,1.63479143163023e-16,"Colobus tephrosceles - Pan troglodytes"
191.693540618758,7.98467542443376,7.04462637616405e-16,7.04462637616405e-16,"Lagothrix lagotrichia - Pan troglodytes"
191.693540618758,8.7325542090265,1.24492426057175e-18,1.24492426057175e-18,"Macaca mulatta - Pan troglodytes"
191.693540618758,4.45035360937605,4.28645074242265e-06,4.28645074242265e-06,"Macaca sp - Pan troglodytes"
191.693540618758,7.3336664687473,1.11970005240362e-13,1.11970005240362e-13,"Callithrix jacchus - Papio anubis"
191.693540618758,8.02748992488488,4.97435683021443e-16,4.97435683021443e-16,"Cebus apella - Papio anubis"
191.693540618758,4.70397797676315,1.2757039092421e-06,1.2757039092421e-06,"Colobus guereza - Papio anubis"
191.693540618758,2.72107056086899,0.00325354351813313,0.00325354351813313,"Colobus polykomos - Papio anubis"
191.693540618758,7.62144308687195,1.25427620176536e-14,1.25427620176536e-14,"Colobus tephrosceles - Papio anubis"
191.693540618758,7.51384542347187,2.87076867272266e-14,2.87076867272266e-14,"Lagothrix lagotrichia - Papio anubis"
191.693540618758,7.87287237455212,1.73295086303984e-15,1.73295086303984e-15,"Macaca mulatta - Papio anubis"
191.693540618758,4.28019611064484,9.33643492870834e-06,9.33643492870834e-06,"Macaca sp - Papio anubis"
191.693540618758,0.0628449605418789,0.474944981634351,0.474944981634351,"Pan troglodytes - Papio anubis"
